GEOID,Details,Median age (years) 2020,% Non-Hispanic White 2020,% Non-Hispanic Black 2020,% Hispanic all races 2020,Median household income 2020,# Total population 2020,% Non-Hispanic other race adults 2020,% Non-Hispanic Asian or Pacific Islander 2020
A01,"Margaret Mitchell, Paces, Pleasant Hill",46.674712,73.7,13.7,4.6,,4720,2.4,4.2
A02,"Kingswood, Mt. Paran/Northside, Mt. Paran Parkway, Randall Mill, West Paces Ferry/Northside, Whitewater Creek",46.560749,81.9,3.8,4.2,131744.63,4489,2.6,5.8
A03,"Chastain Park, Tuxedo Park",38.233601,88.3,1.3,2.9,188532.32,3578,1.9,3.6
B01,Peachtree Heights West,54.781736,67.9,18.7,5.4,83711.796,5799,3.3,4
B02,"Buckhead Forest, South Tuxedo Park",33.576254,68.2,12.9,8.8,108796.38,4893,3.8,5.3
B03,East Chastain Park,36.853773,76.1,7.6,5.2,196305.41,2446,3.6,6.1
B04,North Buckhead,38.322472,69,12.3,5.8,113401.34,12806,3.3,8.2
B05,Brookhaven,48.460656,87.2,2.7,4,,2384,1.7,2.9
B06,"Buckhead Heights, Lenox, Ridgedale Park",43.46156,67.2,14.7,7.4,96192.125,4740,2.5,7.6
B07,"Buckhead Village, Peachtree Park",32.116245,67.2,14.6,6.8,94768.256,4147,3.9,6.2
B08,Pine Hills,32.162999,48.3,21.4,15.1,80136.59,8445,3.5,9.8
B09,Garden Hills,39.086125,73.5,8.4,8.6,81004.756,4984,3.2,4.8
B10,"Peachtree Heights East, Peachtree Hills",33.032617,82,6,6,93693.52,4239,2.4,2.3
B11,Lindbergh/Morosgo,29.514746,34.6,32.9,8.1,66161.553,7276,4.6,19
C01,"Fernleaf, Hanover West, Ridgewood Heights, Wesley Battle, Westover Plantation",38.132003,67,14,10.7,139274.2,3304,3,3.8
C02,Cross Creek,33.926941,58.5,23.3,7.9,72269.737,3065,3.9,5.2
C03,"Brandon, Castlewood, Westminster/Milmar, Woodfield",42.939841,77.7,10.7,3.5,140860.93,4396,2,4.3
C04,"Arden/Habersham, Argonne Forest, Peachtree Battle Alliance, Wyngate",49.130261,93.1,0.7,2.6,179203.37,2847,1.6,0.9
C05,"Collier Hills, Collier Hills North, Colonial Homes",33.728134,71.6,12.4,6.8,77874.011,3757,4,4.1
C06,"Channing Valley, Memorial Park, Springlake, Wildwood (NPU-C)",30.797367,76.7,10.9,5.2,110493.08,4745,2.2,4.2
D01,"Bolton, Riverside, Whittier Mill Village",33.064663,44.2,30.4,15.5,112021.95,6337,3.8,4.3
D02,Underwood Hills,33.498321,63,18.5,7.7,95068.762,3287,3.6,5.7
D03,"Berkeley Park, Blandtown, Hills Park",29.453921,51.4,28,9.1,94706.604,5527,4.3,6.1
