geoid,neighborhood,total_population,median_age,median_household_income,percent_white,percent_black,percent_hispanic,percent_asian_or_pacific_islander,percent_other_races
A01,"Margaret Mitchell, Paces, Pleasant Hill",4720,46.674712,,73.7,13.7,4.6,4.2,2.4
A02,"Kingswood, Mt. Paran/Northside, Mt. Paran Parkway, Randall Mill, West Paces Ferry/Northside, Whitewater Creek",4489,46.560749,131744.63,81.9,3.8,4.2,5.8,2.6
A03,"Chastain Park, Tuxedo Park",3578,38.233601,188532.32,88.3,1.3,2.9,3.6,1.9
B01,Peachtree Heights West,5799,54.781735999999995,83711.796,67.9,18.7,5.4,4.0,3.3
B02,"Buckhead Forest, South Tuxedo Park",4893,33.576254,108796.38,68.2,12.9,8.8,5.3,3.8
B03,East Chastain Park,2446,36.853773,196305.41,76.1,7.6,5.2,6.1,3.6
B04,North Buckhead,12806,38.322472,113401.34,69.0,12.3,5.8,8.2,3.3
B05,Brookhaven,2384,48.460656,,87.2,2.7,4.0,2.9,1.7
B06,"Buckhead Heights, Lenox, Ridgedale Park",4740,43.46156,96192.125,67.2,14.7,7.4,7.6,2.5
B07,"Buckhead Village, Peachtree Park",4147,32.116245,94768.256,67.2,14.6,6.8,6.2,3.9
B08,Pine Hills,8445,32.162999,80136.59,48.3,21.4,15.1,9.8,3.5
B09,Garden Hills,4984,39.086125,81004.756,73.5,8.4,8.6,4.8,3.2
B10,"Peachtree Heights East, Peachtree Hills",4239,33.032617,93693.52,82.0,6.0,6.0,2.3,2.4
B11,Lindbergh/Morosgo,7276,29.514746000000002,66161.553,34.6,32.9,8.1,19.0,4.6
C01,"Fernleaf, Hanover West, Ridgewood Heights, Wesley Battle, Westover Plantation",3304,38.132003000000005,139274.2,67.0,14.0,10.7,3.8,3.0
C02,Cross Creek,3065,33.926941,72269.73700000001,58.5,23.3,7.9,5.2,3.9
C03,"Brandon, Castlewood, Westminster/Milmar, Woodfield",4396,42.939840999999994,140860.93,77.7,10.7,3.5,4.3,2.0
C04,"Arden/Habersham, Argonne Forest, Peachtree Battle Alliance, Wyngate",2847,49.130261,179203.37,93.1,0.7,2.6,0.9,1.6
C05,"Collier Hills, Collier Hills North, Colonial Homes",3757,33.728134000000004,77874.011,71.6,12.4,6.8,4.1,4.0
C06,"Channing Valley, Memorial Park, Springlake, Wildwood (NPU-C)",4745,30.797366999999998,110493.08,76.7,10.9,5.2,4.2,2.2
D01,"Bolton, Riverside, Whittier Mill Village",6337,33.064663,112021.95,44.2,30.4,15.5,4.3,3.8
D02,Underwood Hills,3287,33.498321000000004,95068.76199999999,63.0,18.5,7.7,5.7,3.6
D03,"Berkeley Park, Blandtown, Hills Park",5527,29.453921,94706.604,51.4,28.0,9.1,6.1,4.3
E01,"Ansley Park, Sherwood Forest",3716,46.673396999999994,117965.74,80.9,6.8,4.9,3.7,2.5
E02,"Georgia Tech, Marietta Street Artery",9937,20.778579999999998,56728.221,59.8,15.0,7.6,12.9,4.5
E03,"Ardmore, Brookwood",3193,29.726423999999998,87349.979,64.7,13.7,7.9,8.5,4.2
E04,"Atlantic Station, Loring Heights",5762,28.163748,65644.88900000001,41.0,31.6,8.2,13.7,4.8
E05,Brookwood Hills,3390,33.118503000000004,92279.412,57.6,23.9,7.0,5.5,4.4
E06,Home Park,4946,25.904356,62959.89,45.4,16.7,7.8,24.4,5.3
E07,Midtown,27740,32.290816,85339.435,61.2,13.6,8.0,11.9,4.7
F01,Piedmont Heights,3217,31.430027000000003,97980.237,61.3,19.6,6.9,6.5,4.2
