offense_id,occur_date,crime_type,neighborhood,lat,long,closest_station,difference_in_lat,difference_in_long,distance_away,geoid
22011609,2022-07-20,LARCENY-NON VEHICLE,Custer/McDonough/Guice,33.716073,-84.353217,King Memorial,0.033735071084485924,0.02232888614683759,4.281915363650241,W02
22254073,2022-09-11,LARCENY-FROM VEHICLE,Reynoldstown,33.746334999999995,-84.36175300000001,King Memorial,0.003473071084492574,0.013792886146831052,1.3324453791946638,N01
210770926,2022-01-15,LARCENY-NON VEHICLE,Arlington Estates,33.688746,-84.54419,East Point,0.011871144531305333,0.10338988746661926,9.657056671405254,P01
212630747,2022-07-11,HOMICIDE,Fairburn Heights,33.772107,-84.501745,Hamilton E. Holmes,0.017694592661854358,0.03130467725816288,3.4993593662403057,H01
220010108,2022-01-01,AGG ASSAULT,Summerhill,33.738248999999996,-84.383948,Georgia State,0.011730731583192266,0.0018975715893532197,1.3161448497364212,V01
220010236,2022-01-01,LARCENY-FROM VEHICLE,Sweet Auburn,33.753675,-84.374546,King Memorial,0.0038669289155137676,0.0009998861468432096,0.43980785039875847,M02
220010261,2022-01-01,AGG ASSAULT,Old Fourth Ward,33.757872,-84.371041,King Memorial,0.008063928915511553,0.004504886146833087,0.988670988142198,M02
220010381,2022-01-01,LARCENY-NON VEHICLE,West End,33.739304,-84.432039,West End,0.003480613528296317,0.018369018628732192,1.7420928478738715,T04
220010424,2022-01-01,AGG ASSAULT,Hunter Hills,33.761713,-84.42635,Ashby,0.005431387976670976,0.009559594137272143,1.0703951929788298,K01
220010539,2022-01-01,LARCENY-FROM VEHICLE,Pittsburgh,33.742773,-84.407627,West End,0.006949613528298926,0.00604298137126591,0.953619427829744,V02
220010558,2022-01-01,BURGLARY,Inman Park,33.764741,-84.349778,Inman Park-Reynoldstown,0.007330235079734848,0.0029788783677702213,0.8603464974085534,N02
220010580,2022-01-01,AGG ASSAULT,Lindbergh/Morosgo,33.82179,-84.366949,Lindbergh Center,0.0006956990196087531,0.002584925025303164,0.2510064836657444,B11
220010591,2022-01-01,LARCENY-FROM VEHICLE,Lindridge/Martin Manor,33.818616999999996,-84.349055,Lindbergh Center,0.0038686990196126203,0.020478925025301464,1.9401165687941806,F02
220010592,2022-01-01,BURGLARY,Wildwood (NPU-C),33.814881,-84.416146,Arts Center,0.02579679803887558,0.02933912181779874,3.9467916912986687,C06
220010607,2022-01-01,LARCENY-FROM VEHICLE,Midtown,33.785882,-84.385965,Arts Center,0.0032022019611233077,0.000841878182200162,0.3644694896327594,E07
220010634,2022-01-01,BURGLARY,Downtown,33.756007000000004,-84.389801,Five Points,0.002170608844515698,0.0019115777447211713,0.29914338945641117,M01
220010644,2022-01-01,AGG ASSAULT,Vine City,33.757146,-84.416841,Ashby,0.000864387976669434,5.0594137277926166e-05,0.09622930518001199,L01
220010647,2022-01-01,AGG ASSAULT,Lindbergh/Morosgo,33.82173,-84.371024,Lindbergh Center,0.0007556990196064817,0.0014900749746971087,0.16127100092027527,B11
220010719,2022-01-01,LARCENY-FROM VEHICLE,Downtown,33.764071,-84.386377,Civic Center,0.00231574806485213,0.0011088929425540073,0.27715190486178404,M01
220010800,2022-01-01,LARCENY-FROM VEHICLE,Downtown,33.750964,-84.39499599999999,Garnett,0.0021630105733549954,0.000592311892660291,0.24667138565804647,M01
220010897,2022-01-01,LARCENY-FROM VEHICLE,English Avenue,33.764768,-84.414936,Ashby,0.008486387976667231,0.001854405862729891,0.959088297414994,L02
220010945,2022-01-01,BURGLARY,Lakewood Heights,33.707201,-84.376235,Oakland City,0.009831182767008784,0.04892485144823411,4.655520352876174,Y04
220010964,2022-01-01,LARCENY-FROM VEHICLE,Pittsburgh,33.733655,-84.402209,West End,0.002168386471701922,0.011460981371271828,1.0868971852093359,V02
